catalog_id, system_name    , planet_name      , measurement_version, record_type, catalog_status, discovery_year, discovery_method, discovery_facility   , source_team        , distance_light_years, distance_entry_mixed_units, star_type, star_mass_solar, star_radius_solar, star_temperature_k, stellar_activity, planet_class, planet_radius_earth, planet_radius_error_plus, planet_radius_error_minus, planet_mass_earth, planet_mass_error_plus, planet_mass_error_minus, orbital_period_days, semi_major_axis_au, eccentricity, equilibrium_temperature_k, transit_depth_ppm, signal_strength, detection_confidence_pct, atmosphere_hint         , liquid_water_index, moon_candidate_count, ring_candidate, anomaly_flag              , follow_up_priority, data_quality_grade, last_observed_date, observer_note
XPS-AAAM  , Solis C        , Solis C-u        ,                   1, Primary    , Archived      ,           2010, Radial Velocity , Highland Spectrograph, Blue Orbit Group   ,              1670.59, 1670.6 ly                 , K        ,           0.816,             0.870,             4347.8, Moderate        , Super-Earth ,               2.043,                    0.115,                     0.090,             6.788,                       ,                   1.223,           2558.6215,             3.4208,       0.0275,                      99.9,             470.8,            3.41,                    66.36, Hydrogen-rich           ,                   ,                    0, No            , Unexpected infrared excess, Low               , A                 , 2018-12-30        , The atmospheric result has low certainty.
XPS-AAAN  , Auron South    , Auron South-g    ,                   1, Follow-up  , CONFIRMED     ,           2004, Radial Velocity , Highland Spectrograph, Pacific Lens Group ,              2570.28, 788.1 pc                  , K        ,           0.848,             0.880,             4561.0, Active          , Gas Giant   ,              15.413,                    2.576,                     1.447,          1900.000,                128.322,                 153.804,           7183.2531,             6.8964,       0.3282,                      74.2,           25700.5,           10.91,                    79.54, Water vapor candidate   ,              0.018,                    0, No            , Variable transit depth    , High              , B                 , 2024/12/10        , Two observing teams reported slightly different radii.
XPS-AAAP  , Pavo Delta     , Pavo Delta-t     ,                   1, Primary    , Confirmed     ,           2025, Transit         , Aurora Survey        , Blue Orbit Group   ,              5690.00, 5690.0 ly                 , K        ,           0.615,             0.642,             5111.9, Active          , Mini-Neptune,               4.267,                    0.097,                     0.371,            12.507,                  0.878,                   2.776,             17.7380,             0.1132,       0.0904,                     594.1,            3700.3,           15.15,                    75.95, Methane candidate       ,              0.004,                    0, No            , Unusual dimming           , High              , A                 , 01/15/2017        , The atmospheric result has low certainty.
XPS-AAAQ  , Auron C        , Auron C-m        ,                   1, Primary    , Provisional   ,           2002, TRANSIT         , Aurora Survey        , Pacific Lens Group ,               192.29, 59.0 pc                   , K        ,           0.744,             0.790,             5083.2, Moderate        , Gas Giant   ,               9.421,                    0.931,                     0.562,          1900.000,                261.443,                 113.182,              2.4838,             0.0325,       0.0891,                    1340.4,           11935.3,           17.30,                    76.92, Sodium signature        ,              0.000,                    0, No            , None                      , Low               , C                 , 2025-09-19        , The atmospheric result has low certainty.
XPS-AAAR  , Talos Delta    , Talos Delta-d    ,                   2, Reanalysis , Confirmed     ,           2005, Astrometry      , Meridian Mapper      , Meridian Study     ,                 5.47,                           , M        ,           0.203,             0.255,             3406.0, Quiet           , Mini-Neptune,               3.759,                    0.617,                     0.087,            31.485,                       ,                   0.031,             91.2629,             0.2330,       0.0956,                     166.8,           17522.5,            7.02,                    71.40, Cloud-dominated         ,              0.502,                    0, No            , None                      , Medium            , D                 , 2017-07-23        , Cloud cover may hide key atmospheric signals.
XPS-AAAS  , Kepleris Tertia, Kepleris Tertia-x,                   1, Primary    , Confirmed     ,           2013, transit         , Aurora Survey        , Caeli Survey       ,                77.64, 77.6 ly                   , M        ,           0.138,             0.210,             3142.4, Highly active   , Rocky       ,               1.363,                    0.214,                     0.036,             2.444,                  0.111,                   0.210,             74.5881,             0.1791,       0.2250,                     159.7,            3530.7,            2.99,                    72.56, Hydrogen-rich           ,              0.367,                    0, No            , None                      , Medium            , A                 , 11/27/2016        , The system may contain another unseen world.
XPS-AAAT  , Noma Two       , Noma Two-r       ,                   2, primary    , Confirmed     ,           2005, Radial Velocity , Red Mesa Array       , Pacific Lens Group ,              1344.76, 1344.8 ly                 , F        ,           1.211,             1.178,             6926.5, Moderate        , Rocky       ,               1.356,                    0.181,                     0.154,                  ,                  0.485,                        ,             10.3715,             0.0992,       0.1603,                    1132.4,                  ,           37.59,                    78.76, Sodium signature        ,              0.000,                    0, No            , None                      , Low               , B                 , 2011-11-05        , No unusual note was reported.
XPS-AAAU  , Novae Quarta   , Novae Quarta-p   ,                   1, Primary    , Provisional   ,           2006, Transit         , Orbital Lens Network , Meridian Study     ,                17.45, 17.5 ly                   , M        ,           0.164,             0.207,             2565.1, Active          , Ice Giant   ,               4.910,                    0.587,                     0.495,            39.623,                  0.436,                        ,             43.8409,             0.1331,       0.2270,                     159.6,           47081.1,           18.21,                    69.00, Hydrogen-rich           ,              0.069,                    0, Yes           , None                      , Low               , A                 , 2014-06-29        , Several measurements are absent from the early record.
XPS-AAAV  , Rhea Minor     , Rhea Minor-y     ,                   1, Primary    , Confirmed     ,           2022, Transit         , Aurora Survey        , Pacific Lens Group ,              1206.63, 1206.6 ly                 , M        ,           0.138,             0.233,             2614.3, Moderate        , Gas Giant   ,              16.499,                         ,                     0.546,                  ,                200.185,                 182.264,            194.5750,             0.3392,       0.2182,                      98.1,          419488.2,            5.53,                    74.00,                         ,              0.025,                    0, No            , None                      , Low               , B                 , 2024-03-22        , Follow-up data changed the estimated year length.
XPS-AAAW  , Auron South    , Auron South-h    ,                   1, Primary    , Confirmed     ,           2007, Radial Velocity , Red Mesa Array       , Sky Atlas Team     ,                 5.15, 1.6 pc                    , M        ,           0.410,             0.502,             3544.5, Active          , Super-Earth ,               1.893,                         ,                     0.122,             6.294,                  1.132,                   0.064,             11.9944,                   ,       0.4660,                     489.3,                  ,            8.48,                    71.20, Water vapor candidate   ,              0.085,                    0, No            , Asymmetric transit        , Medium            , A                 , 2013-10-10        , The orbit may be tilted relative to the star.
XPS-AAAX  , Kepleris Tertia, Kepleris Tertia-x,                   2, Follow-up  , Confirmed     ,           2011, Transit         , Aurora Survey        , Meridian Study     ,             10662.80, 10662.8 ly                , M        ,           0.564,             0.640,             3373.2, Moderate        , Super-Earth ,               2.324,                    0.014,                     0.349,            15.731,                  3.249,                        ,           1190.9610,             1.8177,       0.1691,                     100.4,            1187.3,           19.36,                    76.80, High-altitude haze      ,              0.182,                    1, No            , None                      , Low               , D                 , 03/05/2016        , The host star varies across the observation cycle.
XPS-AAAY  , Arden South    , Arden South-k    ,                   1, Primary    , Confirmed     ,           2008, Radial Velocity , Red Mesa Array       , Caeli Survey       ,                31.05, 9.5 pc                    , K        ,           0.747,             0.808,             5164.9, Quiet           , Super-Earth ,               1.449,                    0.122,                     0.140,             2.000,                  0.308,                   0.116,             10.6965,             0.0870,       0.1267,                     852.3,                  ,            3.24,                    64.71, Carbon dioxide candidate,                   ,                    0, No            , None                      , Low               , A                 , 2018-12-10        , Transit timing varies across observation windows.
XPS-AAAZ  , Orin Prime     , Orin Prime-p     ,                   1, Primary    , Provisional   ,           2010, Radial Velocity , Solis Observatory    , Aurora Lab         ,              2784.07, 853.6 pc                  , G        ,           1.034,             1.032,             5408.9, Moderate        , Rocky       ,               0.735,                    0.091,                     0.087,             0.637,                       ,                   0.062,             21.7953,             0.1544,       0.1426,                     750.1,              42.5,           52.02,                    74.46,                         ,              0.000,                    0, No            , None                      , Low               , B                 , 2011-01-26        , Two observing teams reported slightly different radii.
XPS-AABA  , Zora Tertia    , Zora Tertia-n    ,                   1, Reanalysis , Confirmed     ,           2001, Pulsar Timing   , Radio Arc Array      , Caeli Survey       ,              2053.44, 629.6 pc                  , K        ,           0.836,             0.853,             4615.7, Moderate        , Rocky       ,               1.166,                    0.116,                     0.078,             0.908,                  0.022,                   0.081,             28.7283,             0.1730,       0.1322,                     516.6,                  ,            4.07,                    66.33, High-altitude haze      ,              0.037,                     , No            , None                      , Low               , A                 , 2020-05-05        , The record includes a later reanalysis.
XPS-AABB  , Talos Two      , Talos Two-f      ,                   1, Primary    , Confirmed     ,           2009, transit         , North Ridge Array    , Blue Orbit Group   ,              3443.92, 3443.9 ly                 , G        ,           0.996,                  ,             6048.5, Quiet           , Super-Earth ,               2.478,                    0.178,                          ,                  ,                  0.183,                   0.917,             13.5132,             0.1109,             ,                     958.4,             517.8,            1.10,                    55.18, No clear signal         ,              0.000,                    0, No            , Orbital drift             , Low               , B                 , 2025-03-08        , The distance entry uses a converted unit.
XPS-AABC  , Cetus A        , Cetus A-m        ,                   1, Primary    , Confirmed     ,           2004, Transit         , SkyScan Array        , Aurora Lab         ,                 8.89, 2.7 pc                    , F        ,           1.253,             1.187,             7387.2, Moderate        , Super-Earth ,               1.469,                    0.216,                     0.209,             3.887,                  0.061,                   0.747,            932.5331,             2.0139,       0.2096,                     259.4,             128.3,           39.87,                    79.25,                         ,              0.858,                    0, No            , None                      , Urgent            , ?                 , 2024-08-03        , A faint secondary signal appears in some observations.
XPS-AABD  , Solis C        , Solis C-j        ,                   1, Reanalysis , Confirmed     ,           1996, Transit         , Orbital Lens Network , Blue Orbit Group   ,                70.28, 70.3 ly                   , M        ,           0.387,             0.445,             3503.3, Quiet           , Gas Giant   ,                    ,                    1.098,                     0.373,                  ,                  4.034,                        ,           9099.5433,             6.2127,             ,                      48.3,           40967.5,           10.65,                    83.72,                         ,              0.009,                    0, No            , Asymmetric transit        , Low               , B                 , 2012/10/23        , The host star varies across the observation cycle.
XPS-AABE  , Talos Quarta   , Talos Quarta-h   ,                   1, Primary    , Confirmed     ,           1998, Transit         , Orbital Lens Network , Caeli Survey       ,                     , 11.6 ly                   , M        ,           0.522,             0.624,             3847.2, active          , Gas Giant   ,              12.761,                    1.521,                     1.448,          1900.000,                       ,                 415.740,           7875.3747,             6.2387,       0.0383,                      55.2,           35047.9,           12.94,                    67.69, Hydrogen-rich           ,              0.011,                    0, Yes           , None                      , Low               , A                 , 2022-05-26        , No unusual note was reported.
XPS-AABF  , Talos C        , Talos C-y        ,                   1, Follow-up  , Confirmed     ,           2021, Radial Velocity , Solis Observatory    , Aurora Lab         ,              4749.69, 4749.7 ly                 , G        ,           1.103,             1.087,             5480.5, Quiet           , Super-Earth ,               1.373,                    0.200,                     0.034,             2.656,                  0.479,                   0.326,            258.3737,             0.8203,       0.1825,                     309.1,             133.9,           14.66,                    78.46, Hydrogen-rich           ,              0.970,                    0, No            , Unusual dimming           , Urgent            , C                 , 2021-03-21        , Follow-up data changed the estimated year length.
XPS-AABG  , Rhea C         , Rhea C-e         ,                   1, Primary    , Confirmed     ,           1998, Transit         , North Ridge Array    , Solis Research Unit,              6305.04, 1933.1 pc                 , K        ,           0.614,             0.642,             4690.0, Active          , Rocky       ,               0.644,                    0.083,                     0.090,                  ,                       ,                   0.040,            264.1021,             0.6900,             ,                     222.9,              84.4,           19.21,                    76.40, Cloud-dominated         ,              0.797,                    0, NO            , None                      , Medium            , C                 , 2017-08-28        , Transit timing varies across observation windows.
XPS-AABH  , Selene A       , Selene A-h       ,                   1, Primary    , Confirmed     ,           2011, Transit         , SkyScan Array        , Solis Research Unit,                 6.34, 6.3 ly                    , M        ,           0.416,                  ,             3153.9, Active          , rocky       ,               0.870,                    0.057,                     0.036,             0.534,                       ,                        ,            132.0489,             0.3787,       0.0933,                     167.1,             299.1,           24.79,                    82.62, Methane candidate       ,              0.515,                    0, No            , Asymmetric transit        , High              , B                 , 2011-04-01        , A faint secondary signal appears in some observations.
XPS-AABJ  , Selene A       , Selene A-h       ,                   2, Primary    , Confirmed     ,           2016, Transit         , Aurora Survey        , Aurora Lab         ,             10713.94, 10713.9 ly                , M        ,           0.525,             0.608,             2713.2, Moderate        , Gas Giant   ,               9.446,                    0.732,                     0.256,           263.146,                 30.559,                  59.197,            129.6310,             0.4038,       0.2943,                     178.0,           21627.3,           32.97,                    85.21, Hydrogen-rich           ,              0.112,                    3, No            , None                      , low               , B                 , 2021-07-03        , A faint secondary signal appears in some observations.
XPS-AABK  , Pavo A         , Pavo A-e         ,                   1, primary    , Confirmed     ,           2021, Radial Velocity , Highland Spectrograph, Blue Orbit Group   ,              5061.00, 5061.0 ly                 , G        ,           1.013,             1.011,             5798.7, Moderate        , Super-Earth ,               1.485,                    0.237,                     0.022,             3.810,                  1.053,                        ,             20.6113,             0.1478,       0.1312,                     677.0,             180.8,           19.44,                    67.46,                         ,              0.000,                    0, Yes           , Possible ring system      , Medium            , C                 , 2014-07-07        , Transit timing varies across observation windows.
XPS-AABL  , Cyra C         , Cyra C-y         ,                   1, Follow-up  , Disputed      ,           1995, transit         , SkyScan Array        , Blue Orbit Group   ,                39.28, 39.3 ly                   , K        ,           0.781,                  ,             4134.3, HIGHLY ACTIVE   , Ocean World ,               1.787,                    0.185,                     0.120,             5.949,                  1.503,                        ,            375.4967,             0.9381,       0.1272,                     235.0,             388.2,           87.96,                    66.06, Cloud-dominated         ,              0.972,                    0, No            , None                      , High              , C                 , 2019-12-29        , Two observing teams reported slightly different radii.
XPS-AABM  , Luma Minor     , Luma Minor-f     ,                   1, Primary    , Confirmed     ,           2000, Transit         , Orbital Lens Network , Caeli Survey       ,                20.94, 20.9 ly                   , M        ,           0.323,             0.416,             2550.0, Highly active   , Super-Earth ,               1.451,                    0.247,                          ,             2.000,                  0.142,                   0.404,             12.6067,             0.0728,       0.4499,                     311.8,            1020.5,           10.38,                    81.05, Water vapor candidate   ,              0.916,                    0, No            , Orbital drift             , Urgent            , C                 , 2012-09-27        , The system may contain another unseen world.
XPS-AABN  , Auron Two      , Auron Two-n      ,                   1, Primary    , Provisional   ,           2024, Direct Imaging  , Celestial Mirror One , Pacific Lens Group ,              5074.57, 1555.9 pc                 , A        ,           1.650,             1.571,             9819.6, Moderate        , Mini-Neptune,               3.094,                    0.279,                     0.351,            28.257,                  1.633,                        ,           7785.9773,             9.0845,       0.0057,                     215.1,             325.2,           32.48,                    75.36, Water vapor candidate   ,              0.837,                    1, No            , None                      , Urgent            , B                 , 2023-05-21        , The orbit may be tilted relative to the star.
XPS-AABP  , Solis C        , Solis C-f        ,                   1, Primary    , Confirmed     ,           1997, Transit         , SkyScan Array        , North Ridge Team   ,                12.22, 12.2 ly                   , G        ,           0.953,             0.964,             5918.2, Quiet           , Rocky       ,               1.273,                    0.181,                     0.087,                  ,                  0.263,                   0.243,             22.2758,             0.1525,       0.2908,                          ,                  ,          116.10,                    94.48,                         ,              0.000,                    0, No            , None                      , Low               , D                 , 2024-07-05        , Two observing teams reported slightly different radii.
XPS-AABQ  , Altara Tertia  , Altara Tertia-c  ,                   1, Primary    , Confirmed     ,           2018, Transit         , Orbital Lens Network , Sky Atlas Team     ,                     , 4449.5 ly                 , G        ,           1.010,             1.009,             5870.0, Quiet           , Super-Earth ,               2.207,                    0.020,                     0.320,            11.192,                  0.324,                   1.578,                    ,             7.9795,             ,                          ,             401.6,           26.60,                    84.90, Hydrogen-rich           ,              0.195,                    0, No            , Orbital drift             , medium            , B                 , 2020-10-27        , The distance entry uses a converted unit.
XPS-AABR  , Solis C        , Solis C-v        ,                   1, Follow-up  , Confirmed     ,           1999, Transit Timing  , Clockwork Survey     , Sky Atlas Team     ,               153.50, 47.1 pc                   , G        ,           1.048,             1.038,             5805.5, Moderate        , Rocky       ,               0.502,                    0.048,                     0.043,             0.129,                  0.060,                   0.054,            132.7881,             0.5174,       0.0082,                     412.1,                  ,           17.27,                    76.26, Carbon dioxide candidate,              0.342,                    0, No            , None                      , low               , B                 , 2022-01-15        , The distance entry uses a converted unit.
XPS-AABS  , Talos Quarta   , Talos Quarta-t   ,                   2, Primary    , Archived      ,           2006, Microlensing    , Southern Lens Grid   , Solis Research Unit,             13083.06, 13083.1 ly                , M        ,           0.219,                  ,             2534.9, moderate        , Gas Giant   ,              11.148,                    0.677,                     0.202,           214.099,                 22.487,                  33.631,            850.3075,             1.0594,       0.1009,                      66.8,          104307.8,           15.69,                    83.42,                         ,              0.017,                    0, Yes           , Possible ring system      , Low               , D                 , 2017/07/05        , Stellar noise complicates the mass estimate.
XPS-AABT  , Cetus One      , Cetus One-g      ,                   1, Primary    , Confirmed     ,           1995, Transit Timing  , Multi-World Array    , North Ridge Team   ,                11.32, 3.5 pc                    , M        ,           0.550,             0.582,             3464.7, Quiet           , Super-Earth ,               1.890,                    0.245,                          ,             8.494,                  0.163,                        ,            324.4870,             0.7570,       0.4233,                     136.3,             884.7,           14.23,                    74.54, Cloud-dominated         ,              0.340,                    0, No            , Unusual dimming           , Medium            , B                 , 05/05/2018        , The orbit may be tilted relative to the star.
XPS-AABU  , Zora A         , Zora A-v         ,                   1, Primary    , Confirmed     ,           2011, Direct Imaging  , Summit Imager        , Solis Research Unit,                11.83, 3.6 pc                    , F        ,           1.494,             1.340,             6437.0, Active          , Gas Giant   ,              12.426,                    0.772,                     0.272,           938.112,                       ,                  72.449,         173033.9745,            69.4650,       0.2273,                      45.9,            7208.6,           22.27,                    77.09, Hydrogen-rich           ,              0.008,                    0, Yes           , None                      , Low               , C                 , 2022-02-14        , A faint secondary signal appears in some observations.
XPS-AABV  , Mira B         , Mira B-u         ,                   1, Primary    , Confirmed     ,           2017, Transit         , North Ridge Array    , Sky Atlas Team     ,              2954.78, 2954.8 ly                 , M        ,           0.335,             0.445,             3299.9, Active          , Super-Earth ,               2.490,                    0.133,                     0.256,            15.000,                  0.276,                   3.008,             47.3257,             0.1778,       0.0446,                     237.9,            2625.0,           34.56,                    77.08, Methane candidate       ,              0.658,                    0, No            , None                      , High              , ?                 , 2022-03-22        , Two observing teams reported slightly different radii.
XPS-AABW  , Novae Major    , Novae Major-e    ,                   1, Primary    , Confirmed     ,           2012, transit         , Aurora Survey        , Solis Research Unit,                10.06, 3.1 pc                    , M        ,           0.234,             0.269,             2919.7, Quiet           , ROCKY       ,               1.121,                    0.147,                     0.033,             1.629,                       ,                   0.103,            302.4873,             0.5438,       0.0445,                      98.5,            1462.9,            8.00,                    71.90, Carbon dioxide candidate,              0.171,                    0, No            , None                      , Low               , C                 , 2011-07-31        , Follow-up data changed the estimated year length.
XPS-AABX  , Altara One     , Altara One-b     ,                   1, Primary    , Confirmed     ,           2018, Radial Velocity , Solis Observatory    , Solis Research Unit,                31.70, 31.7 ly                   , K        ,           0.765,             0.791,             5122.1, Quiet           , Rocky       ,               0.877,                    0.095,                     0.031,             0.967,                  0.081,                   0.135,           3853.8564,             4.3988,       0.0484,                     112.9,             103.0,           44.35,                    71.91, Carbon dioxide candidate,                   ,                    0, No            , Possible moon signal      , Low               , C                 , 2013-10-21        , No unusual note was reported.
XPS-AABY  , Lyra Major     , Lyra Major-c     ,                   1, Primary    , Confirmed     ,           2000, Radial Velocity , Red Mesa Array       , North Ridge Team   ,                66.65, 66.6 ly                   , M        ,           0.546,             0.605,             2531.0, Moderate        , Desert World,               1.677,                    0.137,                     0.030,             4.565,                  0.652,                   0.955,             43.1257,                   ,       0.0100,                     212.1,                  ,            7.74,                    72.63, Oxygen candidate        ,              0.627,                    0, No            , Unexpected infrared excess, High              , D                 , 2014-05-24        , Cloud cover may hide key atmospheric signals.
XPS-AABZ  , Novae Quarta   , Novae Quarta-w   ,                   1, Primary    , Confirmed     ,           2012, Transit         , Orbital Lens Network , Meridian Study     ,               387.31, 387.3 ly                  , K        ,           0.659,                  ,             5132.3, Active          , Mini-Neptune,               4.227,                    0.421,                     0.453,            30.000,                  3.282,                   3.432,            856.0577,             1.5354,       0.2307,                     167.5,            2870.0,           10.66,                    61.69, No clear signal         ,              0.469,                    0, No            , Orbital drift             , Medium            , A                 , 2011/06/06        , Several measurements are absent from the early record.
XPS-AACA  , Luma Minor     , Luma Minor-b     ,                   1, Reanalysis , CONFIRMED     ,           2009, Microlensing    , Southern Lens Grid   , Caeli Survey       ,               703.62, 703.6 ly                  , F        ,           1.161,             1.114,             7288.8, Quiet           , Gas Giant   ,              11.450,                         ,                     0.664,          1900.000,                299.795,                  28.189,           1978.7261,             3.2417,       0.0245,                     191.9,            8870.0,            5.52,                    67.01, Hydrogen-rich           ,              0.091,                    0, No            , None                      , Low               , C                 , 2019-01-28        , The orbit may be tilted relative to the star.
XPS-AACB  , Rhea South     , Rhea South-t     ,                   1, FOLLOW-UP  , Confirmed     ,           2005, Direct Imaging  , Summit Imager        , Aurora Lab         ,              3040.33, 3040.3 ly                 , F        ,           1.489,             1.415,             6939.9, Moderate        , Mini-Neptune,               3.121,                    0.061,                     0.282,            14.997,                  1.655,                   2.569,           4602.6537,                   ,       0.1599,                     150.2,             408.2,           20.06,                    77.34,                         ,              0.347,                    0, No            , None                      , Medium            , B                 , 2018-08-24        , The atmospheric result has low certainty.
XPS-AACC  , Talos Sigma    , Talos Sigma-q    ,                   1, Primary    , Confirmed     ,           2000, Transit         , North Ridge Array    , Pacific Lens Group ,             13214.32, 13214.3 ly                , A        ,           2.220,             1.939,             8798.6, Quiet           , Desert World,               1.539,                    0.026,                     0.140,                  ,                  0.376,                        ,            309.1149,             1.1671,       0.4208,                     548.9,              52.9,            9.95,                    77.23, Hydrogen-rich           ,              0.018,                    1, No            , None                      , Low               , A                 , 2021-01-18        , The host star varies across the observation cycle.
XPS-AACD  , Orin Delta     , Orin Delta-r     ,                   1, Primary    , Disputed      ,           2024, Radial Velocity , Solis Observatory    , Pacific Lens Group ,               148.51, 45.5 pc                   , G        ,           1.051,             1.039,             5518.6, Active          , Rocky       ,               1.300,                    0.172,                     0.187,             3.104,                  0.270,                   0.069,            158.6059,             0.5830,       0.0252,                     372.9,             131.4,            4.74,                    78.52, No clear signal         ,                   ,                    0, Yes           , Possible ring system      , High              , B                 , 2012-02-19        , The orbit may be tilted relative to the star.
